"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1436","TC_PRODUCT_002 - Add Sauce Labs Bike Light to cart","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","2902","pdf testing","chromium","2026-08-03","passed","2026-08-03","","pdf.spec.ts","",""
"","2140","TC_PRODUCT_003 - Add Sauce Labs Bolt T-Shirt to cart","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","1254","TC_PRODUCT_001 - Validate Sauce Labs Backpack name and price","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","7258","@P1 Smoke Error message test 123456789012345678901","chromium","2026-08-03","passed","2026-08-03","","data-driven.spec.ts","",""
"","1047","@P1 smoke TC_LOGIN_003 - validation","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","1479","TC_PRODUCT_004 - Add Sauce Labs Fleece Jacket to cart","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","1516","perform login","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","7745","@P1 Smoke Error message test 12345678901234567890","chromium","2026-08-03","passed","2026-08-03","","data-driven.spec.ts","",""
"","7156","@P1 Login to application, Data Driven Test from Excel","chromium","2026-08-03","passed","2026-08-03","","excel.spec.ts","",""
"","7917","@P1 Smoke Error message test 123","chromium","2026-08-03","passed","2026-08-03","","data-driven.spec.ts","",""
"","1265","TC_PRODUCT_004 - Validate Sauce Labs Fleece Jacket name and price","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","5621","TC_CHECKOUT_002 - Complete checkout for Sauce Labs Bike Light","chromium","2026-08-03","passed","2026-08-03","","CompleteCheckout.spec.ts","",""
"","7674","download pdf","chromium","2026-08-03","passed","2026-08-03","","pdf.spec.ts","",""
"","1506","@P1 smoke TC_LOGIN_001 - validation","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","906","simple get request","chromium","2026-08-03","passed","2026-08-03","","api.spec.ts","",""
"","7471","visual testing","chromium","2026-08-03","passed","2026-08-03","","tierIV_Visualtest.spec.ts","",""
"","2","reading data from excel","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","6252","TC_CHECKOUT_001 - Complete checkout for Sauce Labs Backpack","chromium","2026-08-03","passed","2026-08-03","","CompleteCheckout.spec.ts","",""
"","7440","has title","chromium","2026-08-03","passed","2026-08-03","","api.spec.ts","",""
"","742","simple post request","chromium","2026-08-03","failed","2026-08-03","","api.spec.ts","",""
"","1044","@P1 smoke TC_LOGIN_002 - validation","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","1466","TC_PRODUCT_002 - Validate Sauce Labs Bike Light name and price","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","1288","TC_PRODUCT_003 - Validate Sauce Labs Bolt T-Shirt name and price","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
"","9165","@P1 Smoke Error message test 12","chromium","2026-08-03","passed","2026-08-03","","data-driven.spec.ts","",""
"","1114","@P1 smoke TC_LOGIN_004 - validation","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","5342","visual testing","chromium","2026-08-03","passed","2026-08-03","","visualcomparison.spec.ts","",""
"","1082","@P1 smoke TC_LOGIN_005 - validation","chromium","2026-08-03","passed","2026-08-03","","ExcelOpertions.spec.ts","",""
"","1619","TC_PRODUCT_001 - Add Sauce Labs Backpack to cart","chromium","2026-08-03","passed","2026-08-03","SauceDemo Product Tests Using Excel Data","Product.spec.ts","",""
